Time,mask,Actual Class,Predicted Class,Count
1200D,non_building,Building Shade,Building Shade,100462
1200D,non_building,Building Shade,Tree Shade,55456
1200D,non_building,Building Shade,No Shade,183787
1200D,non_building,Tree Shade,Building Shade,67613
1200D,non_building,Tree Shade,Tree Shade,684011
1200D,non_building,Tree Shade,No Shade,24756
1200D,non_building,No Shade,Building Shade,455852
1200D,non_building,No Shade,Tree Shade,36368
1200D,non_building,No Shade,No Shade,3237652
1500D,non_building,Building Shade,Building Shade,11428
1500D,non_building,Building Shade,Tree Shade,11509
1500D,non_building,Building Shade,No Shade,36482
1500D,non_building,Tree Shade,Building Shade,27068
1500D,non_building,Tree Shade,Tree Shade,780404
1500D,non_building,Tree Shade,No Shade,17194
1500D,non_building,No Shade,Building Shade,135148
1500D,non_building,No Shade,Tree Shade,38773
1500D,non_building,No Shade,No Shade,3787951
1800D,non_building,Building Shade,Building Shade,424646
1800D,non_building,Building Shade,Tree Shade,75052
1800D,non_building,Building Shade,No Shade,224910
1800D,non_building,Tree Shade,Building Shade,192128
1800D,non_building,Tree Shade,Tree Shade,599608
1800D,non_building,Tree Shade,No Shade,26757
1800D,non_building,No Shade,Building Shade,658507
1800D,non_building,No Shade,Tree Shade,57979
1800D,non_building,No Shade,No Shade,2586370
