Time,Actual Class,Predicted Class,Count
1200D,Building Shade,Building Shade,26076
1200D,Building Shade,Tree Shade,28847
1200D,Building Shade,No Shade,118212
1200D,Tree Shade,Building Shade,46475
1200D,Tree Shade,Tree Shade,952512
1200D,Tree Shade,No Shade,48795
1200D,No Shade,Building Shade,308876
1200D,No Shade,Tree Shade,48497
1200D,No Shade,No Shade,5993290
1500D,Building Shade,Building Shade,111180
1500D,Building Shade,Tree Shade,57170
1500D,Building Shade,No Shade,239593
1500D,Tree Shade,Building Shade,99514
1500D,Tree Shade,Tree Shade,879954
1500D,Tree Shade,No Shade,45463
1500D,No Shade,Building Shade,436934
1500D,No Shade,Tree Shade,52651
1500D,No Shade,No Shade,5649121
1800D,Building Shade,Building Shade,966681
1800D,Building Shade,Tree Shade,204902
1800D,Building Shade,No Shade,761843
1800D,Tree Shade,Building Shade,289106
1800D,Tree Shade,Tree Shade,726441
1800D,Tree Shade,No Shade,116604
1800D,No Shade,Building Shade,835323
1800D,No Shade,Tree Shade,83497
1800D,No Shade,No Shade,3587183
